,Class Index,True Pos,True Neg,False Pos,False Neg,Selectivity,Specivity,Balanced Accuracy
0,normal,33.0,319.0,33.0,16.0,0.673469387755102,0.90625,0.7898596938775511
1,fire,22.0,352.0,17.0,10.0,0.6875,0.9539295392953929,0.8207147696476964
2,fighting,8.0,358.0,10.0,25.0,0.24242424242424243,0.9728260869565217,0.6076251646903821
3,water,42.0,330.0,22.0,7.0,0.8571428571428571,0.9375,0.8973214285714286
4,flying,29.0,339.0,17.0,16.0,0.6444444444444445,0.952247191011236,0.7983458177278402
5,grass,20.0,338.0,10.0,33.0,0.37735849056603776,0.9712643678160919,0.6743114291910648
6,poison,10.0,324.0,55.0,12.0,0.45454545454545453,0.8548812664907651,0.6547133605181098
7,electric,19.0,361.0,14.0,7.0,0.7307692307692307,0.9626666666666667,0.8467179487179487
8,ground,6.0,354.0,21.0,20.0,0.23076923076923078,0.944,0.5873846153846154
9,psychic,34.0,293.0,70.0,4.0,0.8947368421052632,0.8071625344352618,0.8509496882702625
10,rock,14.0,346.0,26.0,15.0,0.4827586206896552,0.9301075268817204,0.7064330737856878
11,ice,9.0,375.0,8.0,9.0,0.5,0.97911227154047,0.7395561357702349
12,bug,20.0,357.0,3.0,21.0,0.4878048780487805,0.9916666666666667,0.7397357723577236
13,dragon,27.0,363.0,7.0,4.0,0.8709677419354839,0.981081081081081,0.9260244115082825
14,ghost,9.0,360.0,10.0,22.0,0.2903225806451613,0.972972972972973,0.6316477768090671
15,dark,14.0,356.0,15.0,16.0,0.4666666666666667,0.9595687331536388,0.7131176999101527
16,steel,19.0,359.0,12.0,11.0,0.6333333333333333,0.967654986522911,0.8004941599281221
17,fairy,2.0,365.0,7.0,27.0,0.06896551724137931,0.9811827956989247,0.525074156470152
18,overall,337.0,6249.0,357.0,275.0,0.5506535947712419,0.9459582198001817,0.7483059072857118
