,Class Index,True Pos,True Neg,False Pos,False Neg
0,normal,33.0,319.0,33.0,16.0
1,fire,22.0,352.0,17.0,10.0
2,fighting,8.0,358.0,10.0,25.0
3,water,42.0,330.0,22.0,7.0
4,flying,29.0,339.0,17.0,16.0
5,grass,20.0,338.0,10.0,33.0
6,poison,10.0,324.0,55.0,12.0
7,electric,19.0,361.0,14.0,7.0
8,ground,6.0,354.0,21.0,20.0
9,psychic,34.0,293.0,70.0,4.0
10,rock,14.0,346.0,26.0,15.0
11,ice,9.0,375.0,8.0,9.0
12,bug,20.0,357.0,3.0,21.0
13,dragon,27.0,363.0,7.0,4.0
14,ghost,9.0,360.0,10.0,22.0
15,dark,14.0,356.0,15.0,16.0
16,steel,19.0,359.0,12.0,11.0
17,fairy,2.0,365.0,7.0,27.0
18,overall,337.0,6249.0,357.0,275.0
