,Class Index,True Pos,True Neg,False Pos,False Neg,Selectivity,Specivity,Balanced Accuracy
0,normal,13.0,169.0,20.0,9.0,0.5909090909090909,0.8941798941798942,0.7425444925444926
1,fire,14.0,180.0,10.0,7.0,0.6666666666666666,0.9473684210526315,0.8070175438596491
2,fighting,1.0,184.0,5.0,21.0,0.045454545454545456,0.9735449735449735,0.5094997594997595
3,water,21.0,173.0,12.0,5.0,0.8076923076923077,0.9351351351351351,0.8714137214137214
4,flying,28.0,157.0,10.0,16.0,0.6363636363636364,0.9401197604790419,0.7882416984213392
5,grass,6.0,174.0,7.0,24.0,0.2,0.9613259668508287,0.5806629834254143
6,poison,8.0,159.0,32.0,12.0,0.4,0.8324607329842932,0.6162303664921467
7,electric,10.0,189.0,7.0,5.0,0.6666666666666666,0.9642857142857143,0.8154761904761905
8,ground,5.0,178.0,12.0,16.0,0.23809523809523808,0.9368421052631579,0.587468671679198
9,psychic,15.0,151.0,42.0,3.0,0.8333333333333334,0.7823834196891192,0.8078583765112263
10,rock,8.0,173.0,17.0,13.0,0.38095238095238093,0.9105263157894737,0.6457393483709273
11,ice,7.0,199.0,3.0,2.0,0.7777777777777778,0.9851485148514851,0.8814631463146314
12,bug,13.0,177.0,2.0,19.0,0.40625,0.9888268156424581,0.697538407821229
13,dragon,19.0,184.0,4.0,4.0,0.8260869565217391,0.9787234042553191,0.9024051803885291
14,ghost,7.0,178.0,6.0,20.0,0.25925925925925924,0.967391304347826,0.6133252818035426
15,dark,9.0,181.0,5.0,16.0,0.36,0.9731182795698925,0.6665591397849462
16,steel,16.0,181.0,3.0,11.0,0.5925925925925926,0.9836956521739131,0.7881441223832528
17,fairy,2.0,189.0,3.0,17.0,0.10526315789473684,0.984375,0.5448190789473684
18,overall,202.0,3176.0,200.0,220.0,0.4786729857819905,0.9407582938388626,0.7097156398104265
