,Class Index,True Pos,True Neg,False Pos,False Neg,Selectivity,Specivity,Balanced Accuracy
0,normal,13.0,160.0,3.0,15.0,0.4642857142857143,0.9815950920245399,0.7229404031551271
1,fire,10.0,179.0,1.0,1.0,0.9090909090909091,0.9944444444444445,0.9517676767676768
2,fighting,4.0,179.0,1.0,7.0,0.36363636363636365,0.9944444444444445,0.6790404040404041
3,water,21.0,164.0,4.0,2.0,0.9130434782608695,0.9761904761904762,0.9446169772256728
4,flying,0.0,190.0,0.0,1.0,0.0,1.0,0.5
5,grass,20.0,164.0,4.0,3.0,0.8695652173913043,0.9761904761904762,0.9228778467908902
6,poison,2.0,189.0,0.0,0.0,1.0,1.0,1.0
7,electric,11.0,176.0,4.0,0.0,1.0,0.9777777777777777,0.9888888888888889
8,ground,2.0,183.0,3.0,3.0,0.4,0.9838709677419355,0.6919354838709677
9,psychic,19.0,155.0,16.0,1.0,0.95,0.9064327485380117,0.9282163742690058
10,rock,2.0,183.0,0.0,6.0,0.25,1.0,0.625
11,ice,2.0,182.0,0.0,7.0,0.2222222222222222,1.0,0.6111111111111112
12,bug,5.0,182.0,0.0,4.0,0.5555555555555556,1.0,0.7777777777777778
13,dragon,2.0,183.0,0.0,6.0,0.25,1.0,0.625
14,ghost,3.0,186.0,1.0,1.0,0.75,0.9946524064171123,0.8723262032085561
15,dark,3.0,184.0,2.0,2.0,0.6,0.989247311827957,0.7946236559139785
16,steel,0.0,188.0,0.0,3.0,0.0,1.0,0.5
17,fairy,0.0,181.0,0.0,10.0,0.0,1.0,0.5
18,overall,119.0,3208.0,39.0,72.0,0.6230366492146597,0.9879889128426239,0.8055127810286418
