,Class Index,True Pos,True Neg,False Pos,False Neg,Selectivity,Specivity,Balanced Accuracy
0,normal,20.0,150.0,13.0,7.0,0.7407407407407407,0.9202453987730062,0.8304930697568734
1,fire,8.0,172.0,7.0,3.0,0.7272727272727273,0.9608938547486033,0.8440832910106653
2,fighting,7.0,174.0,5.0,4.0,0.6363636363636364,0.9720670391061452,0.8042153377348908
3,water,21.0,157.0,10.0,2.0,0.9130434782608695,0.9401197604790419,0.9265816193699556
4,flying,1.0,182.0,7.0,0.0,1.0,0.9629629629629629,0.9814814814814814
5,grass,14.0,164.0,3.0,9.0,0.6086956521739131,0.9820359281437125,0.7953657901588128
6,poison,2.0,165.0,23.0,0.0,1.0,0.8776595744680851,0.9388297872340425
7,electric,9.0,172.0,7.0,2.0,0.8181818181818182,0.9608938547486033,0.8895378364652108
8,ground,1.0,176.0,9.0,4.0,0.2,0.9513513513513514,0.5756756756756757
9,psychic,19.0,142.0,28.0,1.0,0.95,0.8352941176470589,0.8926470588235293
10,rock,6.0,173.0,9.0,2.0,0.75,0.9505494505494505,0.8502747252747253
11,ice,2.0,176.0,5.0,7.0,0.2222222222222222,0.9723756906077348,0.5972989564149784
12,bug,7.0,180.0,1.0,2.0,0.7777777777777778,0.994475138121547,0.8861264579496624
13,dragon,8.0,179.0,3.0,0.0,1.0,0.9835164835164835,0.9917582417582418
14,ghost,2.0,182.0,4.0,2.0,0.5,0.978494623655914,0.739247311827957
15,dark,5.0,175.0,10.0,0.0,1.0,0.9459459459459459,0.972972972972973
16,steel,3.0,178.0,9.0,0.0,1.0,0.9518716577540107,0.9759358288770054
17,fairy,0.0,176.0,4.0,10.0,0.0,0.9777777777777777,0.4888888888888889
18,overall,135.0,3073.0,157.0,55.0,0.7105263157894737,0.9513931888544892,0.8309597523219814
