anime_id,name,genre,type,episodes,rating,members
1,"Gintama°","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262
2,"Steins;Gate","Sci-Fi, Thriller",TV,24,9.17,673572
3,"Gintama&#039;","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266
4,"Ginga Eiyuu Densetsu","Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679
5,"Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534
6,"Gintama&#039;: Enchousen","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109
7,"Gintama","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376
8,"Code Geass: Hangyaku no Lelouch R2","Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888
9,"Code Geass: Hangyaku no Lelouch","Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151
10,"Cowboy Bebop","Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824
11,"One Punch Man","Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458
12,"Suzumiya Haruhi no Shoushitsu","Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297
13,"Tengen Toppa Gurren Lagann","Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962
14,"Monster","Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562
15,"Death Note","Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917
16,"Ping Pong The Animation","Psychological, Seinen, Sports",TV,11,8.67,97187
17,"Boku dake ga Inai Machi","Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381
18,"Yojouhan Shinwa Taikei","Mystery, Psychological, Romance",TV,11,8.65,122531
19,"Aria The Origination","Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162
20,"Re:Zero kara Hajimeru Isekai Seikatsu","Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839
21,"Tengen Toppa Gurren Lagann Movie: Lagann-hen","Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253
22,"Steins;Gate Movie: Fuka Ryouiki no Déjà vu","Sci-Fi, Thriller",Movie,1,8.61,192424
23,"Gintama: Yorinuki Gintama-san on Theater 2D","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104
24,"Gintama Movie: Shinyaku Benizakura-hen","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185
25,"Kiseijuu: Sei no Kakuritsu","Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457
26,"Uchuu Kyoudai","Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958
27,"Ghost in the Shell: Stand Alone Complex 2nd GIG","Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993
28,"Evangelion: 2.0 You Can (Not) Advance","Action, Mecha, Sci-Fi",Movie,1,8.53,182224
29,"Shinsekai yori","Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376
30,"Uchuu Senkan Yamato 2199","Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223
31,"Mahou Shoujo Madoka★Magica","Drama, Magic, Psychological, Thriller",TV,12,8.51,462974
32,"Psycho-Pass","Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109
33,"Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari","Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735
34,"Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari","Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361
35,"Ghost in the Shell: Stand Alone Complex","Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491
36,"Steins;Gate: Oukoubakko no Poriomania","Sci-Fi, Thriller",Special,1,8.46,159548
37,"Neon Genesis Evangelion: The End of Evangelion","Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630
38,"Toki wo Kakeru Shoujo","Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206
39,"Mobile Suit Gundam: The Origin","Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420
40,"Higurashi no Naku Koro ni Kai","Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101
41,"One Outs","Psychological, Seinen, Sports",TV,25,8.41,83056
42,"Cowboy Bebop: Tengoku no Tobira","Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636
43,"Mobile Suit Gundam Unicorn","Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076
44,"NHK ni Youkoso!","Comedy, Drama, Psychological, Romance",TV,24,8.4,291228
45,"Planetes","Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8.38,105044
46,"Shelter","Music, Sci-Fi",Music,1,8.38,71136
47,"Tenkuu no Shiro Laputa","Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38,151061
48,"Gintama: Shiroyasha Koutan","Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8.37,27213
49,"Kotonoha no Niwa","Drama, Psychological, Romance, Slice of Life",Movie,1,8.35,189741
50,"Omoide no Marnie","Drama, Mystery, Psychological",Movie,1,8.35,53590
51,"Ghost in the Shell","Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,223036
52,"Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero","Sci-Fi, Thriller",Special,1,8.34,38147
53,"xxxHOLiC Kei","Comedy, Drama, Mystery, Psychological, Supernatural",TV,13,8.34,74941
54,"Death Parade","Drama, Game, Mystery, Psychological, Thriller",TV,12,8.33,383914
55,"Gyakkyou Burai Kaiji: Ultimate Survivor","Game, Psychological, Seinen, Thriller",TV,26,8.33,98996
56,"Redline","Action, Cars, Sci-Fi, Sports",Movie,1,8.33,109392
57,"Neon Genesis Evangelion","Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,461946
58,"Trigun","Action, Comedy, Sci-Fi",TV,26,8.32,283069
59,"Gintama: Shinyaku Benizakura-hen","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.31,14002
