anime_id,name,genre,type,episodes,rating,members
1,"Gintama°","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262
2,"Steins;Gate","Sci-Fi, Thriller",TV,24,9.17,673572
3,"Gintama&#039;","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266
4,"Ginga Eiyuu Densetsu","Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679
5,"Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534
6,"Gintama&#039;: Enchousen","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109
7,"Gintama","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376
8,"Code Geass: Hangyaku no Lelouch R2","Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888
9,"Code Geass: Hangyaku no Lelouch","Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151
10,"Cowboy Bebop","Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824
11,"One Punch Man","Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458
12,"Suzumiya Haruhi no Shoushitsu","Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297
13,"Tengen Toppa Gurren Lagann","Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962
14,"Aria The Origination","Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162
15,"Tengen Toppa Gurren Lagann Movie: Lagann-hen","Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253
16,"Steins;Gate Movie: Fuka Ryouiki no Déjà vu","Sci-Fi, Thriller",Movie,1,8.61,192424
17,"Gintama: Yorinuki Gintama-san on Theater 2D","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104
18,"Gintama Movie: Shinyaku Benizakura-hen","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185
19,"Kiseijuu: Sei no Kakuritsu","Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457
20,"Uchuu Kyoudai","Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958
21,"Ghost in the Shell: Stand Alone Complex 2nd GIG","Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993
22,"Evangelion: 2.0 You Can (Not) Advance","Action, Mecha, Sci-Fi",Movie,1,8.53,182224
23,"Shinsekai yori","Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376
24,"Uchuu Senkan Yamato 2199","Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223
25,"Psycho-Pass","Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109
26,"Ghost in the Shell: Stand Alone Complex","Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491
27,"Steins;Gate: Oukoubakko no Poriomania","Sci-Fi, Thriller",Special,1,8.46,159548
28,"Neon Genesis Evangelion: The End of Evangelion","Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630
29,"Toki wo Kakeru Shoujo","Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206
30,"Mobile Suit Gundam: The Origin","Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420
31,"Cowboy Bebop: Tengoku no Tobira","Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636
32,"Mobile Suit Gundam Unicorn","Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076
33,"Planetes","Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8.38,105044
34,"Shelter","Music, Sci-Fi",Music,1,8.38,71136
35,"Tenkuu no Shiro Laputa","Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38,151061
36,"Gintama: Shiroyasha Koutan","Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8.37,27213
37,"Ghost in the Shell","Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,223036
38,"Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero","Sci-Fi, Thriller",Special,1,8.34,38147
39,"Redline","Action, Cars, Sci-Fi, Sports",Movie,1,8.33,109392
40,"Neon Genesis Evangelion","Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,461946
41,"Trigun","Action, Comedy, Sci-Fi",TV,26,8.32,283069
42,"Gintama: Shinyaku Benizakura-hen","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.31,14002
43,"Aria The Natural","Fantasy, Sci-Fi, Shounen, Slice of Life",TV,26,8.3,39596
44,"Summer Wars","Comedy, Sci-Fi",Movie,1,8.3,223359
45,"Kaiba","Adventure, Mystery, Romance, Sci-Fi",TV,12,8.29,56927
46,"Gankutsuou","Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24,8.27,103828
47,"Space☆Dandy 2nd Season","Comedy, Sci-Fi, Space",TV,13,8.27,60918
48,"Eve no Jikan","Sci-Fi, Slice of Life",ONA,6,8.26,99074
49,"Eve no Jikan (Movie)","Sci-Fi, Slice of Life",Movie,1,8.26,66376
50,"Saint Seiya: Meiou Hades Juuni Kyuu-hen","Adventure, Sci-Fi, Shounen",OVA,13,8.26,23701
51,"Darker than Black: Kuro no Keiyakusha","Action, Mystery, Sci-Fi, Super Power",TV,25,8.25,440334
52,"Yuusha-Ou GaoGaiGar Final","Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,8,8.25,5001
53,"Mobile Suit Gundam 00","Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,8.24,120351
54,"Sakasama no Patema","Sci-Fi, Seinen",Movie,1,8.23,89749
55,"Ghost in the Shell: Stand Alone Complex - Solid State Society","Mecha, Military, Mystery, Police, Sci-Fi, Seinen",Special,1,8.22,55247
56,"Evangelion: 1.0 You Are (Not) Alone","Action, Mecha, Sci-Fi",Movie,1,8.21,194561
57,"Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture","Action, Drama, Military, Sci-Fi, Space",Movie,1,8.21,11808
58,"Mobile Suit Gundam 00 Second Season","Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,8.21,86972
59,"Aria The Avvenire","Fantasy, Sci-Fi, Shounen, Slice of Life",Special,3,8.2,9500
